region;inst_name;inst_type;province;location;designation
03 - Central Luzon;Angeles University Foundation;Private;Pampanga;City of Angeles;City
03 - Central Luzon;Sto. Rosario Sapang Palay College;Private;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;Baliuag University;Private;Bulacan;Baliuag;Municipality
03 - Central Luzon;Baliwag Maritime Foundation;Private;Bulacan;San Rafael;Municipality
03 - Central Luzon;Bataan Peninsula State University-Dinalupihan;SUC;Bataan;Dinalupihan;Municipality
03 - Central Luzon;Bataan Peninsula State University-Abucay;SUC;Bataan;Abucay;Municipality
03 - Central Luzon;Bataan Peninsula State University-Bagac;SUC;Bataan;Bagac;Municipality
03 - Central Luzon;Bataan Heroes Memorial College;Private;Bataan;City of Balanga;City
03 - Central Luzon;Bulacan Agricultural State College;SUC;Bulacan;San Ildefonso;Municipality
03 - Central Luzon;Bulacan State University-Main;SUC;Bulacan;City of Malolos;City
03 - Central Luzon;Bulacan State University-Bustos;SUC;Bulacan;City of Malolos;City
03 - Central Luzon;Bulacan State University-San Jose Del Monte;SUC;Bulacan;City of San Jose Del Monte;City
03 - Central Luzon;Bulacan State University-Meneses;SUC;Bulacan;Bulacan;Municipality
03 - Central Luzon;Bulacan State University-Hagonoy;SUC;Bulacan;Hagonoy;Municipality
03 - Central Luzon;Camiling Colleges;Private;Tarlac;Camiling;Municipality
03 - Central Luzon;CIT Colleges of Paniqui Foundation;Private;Tarlac;Paniqui;Municipality
03 - Central Luzon;Central Luzon Doctors' Hospital Educational Institution;Private;Tarlac;City of Tarlac;City
03 - Central Luzon;Central Luzon College of Science and Technology-Olongapo City;Private;Zambales;City of Olongapo;City
03 - Central Luzon;Nueva Ecija University of Science and Technology-Main;SUC;Nueva Ecija;City of Cabanatuan;City
03 - Central Luzon;Central Luzon State University;SUC;Nueva Ecija;Science City of Muñoz;Municipality
03 - Central Luzon;Centro Escolar University-Malolos City;Private;Bulacan;City of Malolos;City
03 - Central Luzon;Colegio De San Pascual Baylon;Private;Bulacan;Obando;Municipality
03 - Central Luzon;College of the Immaculate Conception;Private;Nueva Ecija;City of Cabanatuan;City
